Mark,5-8,2 Chronicles,22-27,Psalms,73-74,Proverbs,31
Mark,9-12,2 Chronicles,28-32,Psalms,75-76,Proverbs,1
Mark,13-16,2 Chronicles,33-36,Psalms,77-78,Proverbs,2
James,,Ezra,1-6,Psalms,79-80,Proverbs,3
1 Corinthians,1-4,Ezra,7-10,Psalms,81-83,Proverbs,4
1 Corinthians,5-8,Nehemiah,1-3,Psalms,84-85,Proverbs,5
1 Corinthians,9-12,Nehemiah,4-7,Psalms,86-87,Proverbs,6
1 Corinthians,13-16,Nehemiah,8-10,Psalms,88-90,Proverbs,7
1 Thessalonians,,Nehemiah,11-13,Psalms,91-92,Proverbs,8
2 Corinthians,1-4,Esther,1-4,Psalms,93-94,Proverbs,9
2 Corinthians,5-9,Esther,5-10,Psalms,95-97,,
2 Corinthians,10-13,Job,1-3,Psalms,98-99,Proverbs,10
2 Thessalonians,,Job,4-7,Psalms,100-101,Proverbs,11
Luke,1-4,Job,8-10,Psalms,102-104,Proverbs,12
Luke,5-8,Job,11-14,Psalms,105-106,Proverbs,13
Luke,9-12,Job,15-17,Psalms,107-108,Proverbs,14
Luke,13-16,Job,18-21,Psalms,109-111,Proverbs,15
Luke,17-20,Job,22-26,Psalms,112-113,Proverbs,16
Luke,21-24,Job,27-31,Psalms,114-115,Proverbs,17
1 Timothy,,Job,32-34,Psalms,116-118,Proverbs,18
Hebrews,1-4,Job,35-37,Psalms,119-120,Proverbs,19
Hebrews,5-8,Job,38-40,Psalms,121-122,Proverbs,20
Hebrews,9-13,Job,41-42,Psalms,123-125,Proverbs,21
2 Timothy,,Ecclesiastes,1-4,Psalms,126-127,Proverbs,22
Titus,,Ecclesiastes,5-8,Psalms,128-129,Proverbs,23
Revelation,1-5,Ecclesiastes,9-12,Psalms,130-132,Proverbs,24
Revelation,6-9,Song of Solomon,1-4,Psalms,133-134,Proverbs,25
Revelation,10-14,Song of Solomon,5-8,Psalms,135-136,Proverbs,26
Revelation,15-18,Isaiah,1-6,Psalms,137-139,Proverbs,27
Revelation,19-22,Isaiah,7-12,Psalms,140-141,Proverbs,28
1 Peter,,Isaiah,13-18,Psalms,142-143,Proverbs,29
Philemon,,Isaiah,19-23,Psalms,144-145,Proverbs,30
2 Peter,,Isaiah,24-27,Psalms,146-148,,
Jude,,Isaiah,28-31,Psalms,149-150,Proverbs,31
1 John,,Isaiah,32-35,Psalms,1-2,Proverbs,1
John,1-4,Isaiah,36-39,Psalms,3-4,Proverbs,2
John,5-8,Isaiah,40-44,Psalms,5-7,Proverbs,3
John,9-12,Isaiah,45-48,Psalms,8-9,Proverbs,4
John,13-17,Isaiah,49-53,Psalms,10-11,Proverbs,5
John,18-21,Isaiah,54-57,Psalms,12-14,Proverbs,6
Philippians,,Isaiah,58-62,Psalms,15-16,Proverbs,7
Matthew,1-4,Isaiah,63-66,Psalms,17-18,Proverbs,8
Matthew,5-8,Jeremiah,1-4,Psalms,19-21,Proverbs,9
Matthew,9-12,Jeremiah,5-9,Psalms,22-23,Proverbs,10
Matthew,13-16,Jeremiah,10-13,Psalms,24-25,Proverbs,11
Matthew,17-20,Jeremiah,14-17,Psalms,26-28,Proverbs,12
Matthew,21-24,Jeremiah,18-22,Psalms,29-30,Proverbs,13
Matthew,25-28,Jeremiah,23-25,Psalms,31-32,Proverbs,14
Colossians,,Jeremiah,26-29,Psalms,33-35,Proverbs,15
Acts,1-4,Jeremiah,30-33,Psalms,36-37,Proverbs,16
Acts,5-8,Jeremiah,34-37,Psalms,38-39,Proverbs,17
Acts,9-12,Jeremiah,38-42,Psalms,40-42,Proverbs,18
Acts,13-16,Jeremiah,43-45,Psalms,43-44,Proverbs,19
Acts,17-20,Jeremiah,46-49,Psalms,45-46,Proverbs,20
Acts,21-24,Jeremiah,50-52,Psalms,47-49,,
Acts,25-28,Lamentations,1,Psalms,50-51,Proverbs,21
2 John,,Lamentations,2,Psalms,52-53,Proverbs,22
Galatians,,Lamentations,3,Psalms,54-56,Proverbs,23
3 John,,Lamentations,4,Psalms,57-58,Proverbs,24
Romans,1-4,Lamentations,5,Psalms,59-60,Proverbs,25
Romans,5-8,Ezekiel,1-3,Psalms,61-63,Proverbs,26
Romans,9-12,Ezekiel,4-7,Psalms,64-65,Proverbs,27
Romans,13-16,Ezekiel,8-11,Psalms,66-67,Proverbs,28
Ephesians,,Ezekiel,12-15,Psalms,68-70,Proverbs,29
Mark,1-4,Ezekiel,16-19,Psalms,71-72,Proverbs,30
Mark,5-8,Ezekiel,20-24,Psalms,73-74,Proverbs,31
Mark,9-12,Ezekiel,25-28,Psalms,75-76,Proverbs,1
Mark,13-16,Ezekiel,29-32,Psalms,77-78,Proverbs,2
James,,Ezekiel,33-36,Psalms,79-80,Proverbs,3
1 Corinthians,1-4,Ezekiel,37-39,Psalms,81-83,Proverbs,4
1 Corinthians,5-8,Ezekiel,40-43,Psalms,84-85,Proverbs,5
1 Corinthians,9-12,Ezekiel,44-48,Psalms,86-87,Proverbs,6
1 Corinthians,13-16,Daniel,1-2,Psalms,88-90,Proverbs,7
1 Thessalonians,,Daniel,3-4,Psalms,91-92,Proverbs,8
2 Corinthians,1-4,Daniel,5-6,Psalms,93-94,Proverbs,9
2 Corinthians,5-9,Daniel,7-9,Psalms,95-97,,
2 Corinthians,10-13,Daniel,10-12,Psalms,98-99,Proverbs,10
2 Thessalonians,,Hosea,1-3,Psalms,100-101,Proverbs,11
Luke,1-4,Hosea,4-8,Psalms,102-104,Proverbs,12
Luke,5-8,Hosea,9-14,Psalms,105-106,Proverbs,13
Luke,9-12,Joel,,Psalms,107-108,Proverbs,14
Luke,13-16,Amos,1-3,Psalms,109-111,Proverbs,15
Luke,17-20,Amos,4-6,Psalms,112-113,Proverbs,16
Luke,21-24,Amos,7-9,Psalms,114-115,Proverbs,17
1 Timothy,,Obadiah,,Psalms,116-118,Proverbs,18
Hebrews,1-4,Jonah,1-2,Psalms,119-120,Proverbs,19
Hebrews,5-8,Jonah,3-4,Psalms,121-122,Proverbs,20
Hebrews,9-13,Micah,1-3,Psalms,123-125,Proverbs,21
2 Timothy,,Micah,4-5,Psalms,126-127,Proverbs,22
Titus,,Micah,6-7,Psalms,128-129,Proverbs,23
Revelation,1-5,Nahum,,Psalms,130-132,Proverbs,24
Revelation,6-9,Habakkuk,,Psalms,133-134,Proverbs,25
Revelation,10-14,Zephaniah,,Psalms,135-136,Proverbs,26
Revelation,15-18,Haggai,,Psalms,137-139,Proverbs,27
Revelation,19-22,Zechariah,1-4,Psalms,140-141,Proverbs,28
1 Peter,,Zechariah,5-8,Psalms,142-143,Proverbs,29
Philemon,,Zechariah,9-11,Psalms,144-145,Proverbs,30
2 Peter,,Zechariah,12-14,Psalms,146-148,,
Jude,,Malachi,,Psalms,149-150,Proverbs,31
